"age","work_class","education","marital_status","occupation","race","sex","hours_per_week","income_class"
38,"Private","Bachelors","Never-married","Other-service","White","Male",20,"<=50K"
63,"Private","Bachelors","Never-married","Sales","White","Male",27,"<=50K"
44,"Federal-gov","Assoc-acdm","Divorced","Exec-managerial","White","Female",40,"<=50K"
50,"Self-emp-not-inc","Bachelors","Married-civ-spouse","Sales","White","Male",8,"<=50K"
37,"Private","Bachelors","Never-married","Exec-managerial","White","Male",50,"<=50K"
27,"Local-gov","Bachelors","Never-married","Prof-specialty","White","Male",35,"<=50K"
27,"Self-emp-inc","HS-grad","Never-married","Sales","White","Male",50,"<=50K"
52,"Private","HS-grad","Divorced","Sales","White","Female",40,"<=50K"
60,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Sales","White","Male",40,"<=50K"
37,"Private","HS-grad","Married-civ-spouse","Sales","White","Male",45,"<=50K"
36,"Private","HS-grad","Divorced","Farming-fishing","White","Male",50,"<=50K"
25,"Private","Bachelors","Never-married","Sales","White","Female",40,"<=50K"
22,"Private","Bachelors","Never-married","Adm-clerical","White","Female",60,"<=50K"
39,"Private","Assoc-acdm","Divorced","Exec-managerial","White","Male",40,"<=50K"
32,"Private","Bachelors","Married-civ-spouse","Sales","White","Male",44,"<=50K"
27,"Private","HS-grad","Never-married","Adm-clerical","White","Female",40,"<=50K"
59,"Private","Bachelors","Married-civ-spouse","Sales","White","Male",72,"<=50K"
39,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Sales","White","Male",70,"<=50K"
30,"Self-emp-not-inc","HS-grad","Never-married","Sales","White","Male",66,"<=50K"
19,"Private","HS-grad","Never-married","Other-service","White","Male",30,"<=50K"
41,"State-gov","Bachelors","Never-married","Adm-clerical","White","Male",40,"<=50K"
28,"Private","HS-grad","Never-married","Other-service","White","Male",32,"<=50K"
57,"Private","HS-grad","Divorced","Sales","White","Female",28,"<=50K"
36,"Local-gov","Bachelors","Never-married","Prof-specialty","Black","Male",35,"<=50K"
48,"Private","Bachelors","Never-married","Exec-managerial","White","Male",50,"<=50K"
52,"Private","HS-grad","Married-civ-spouse","Exec-managerial","White","Male",48,"<=50K"
60,"Private","HS-grad","Married-civ-spouse","Other-service","White","Female",40,"<=50K"
56,"Local-gov","HS-grad","Divorced","Exec-managerial","White","Female",40,"<=50K"
30,"Private","HS-grad","Never-married","Adm-clerical","White","Female",40,"<=50K"
56,"Private","HS-grad","Widowed","Other-service","Black","Female",20,"<=50K"
53,"Private","Assoc-acdm","Never-married","Adm-clerical","Black","Female",40,"<=50K"
44,"Private","Assoc-acdm","Never-married","Prof-specialty","Black","Female",50,"<=50K"
53,"Private","Prof-school","Never-married","Prof-specialty","White","Female",40,"<=50K"
73,"Self-emp-not-inc","HS-grad","Never-married","Other-service","White","Female",36,"<=50K"
51,"Private","HS-grad","Never-married","Adm-clerical","White","Female",40,"<=50K"
46,"Private","Assoc-acdm","Never-married","Prof-specialty","White","Female",33,"<=50K"
38,"Private","HS-grad","Divorced","Prof-specialty","White","Male",45,"<=50K"
29,"Private","HS-grad","Never-married","Adm-clerical","White","Female",40,"<=50K"
31,"Private","Bachelors","Separated","Exec-managerial","White","Female",70,"<=50K"
65,"Private","Bachelors","Married-civ-spouse","Adm-clerical","White","Male",34,"<=50K"
31,"Private","HS-grad","Never-married","Other-service","White","Female",8,"<=50K"
39,"Private","Bachelors","Never-married","Exec-managerial","Black","Male",45,"<=50K"
30,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Exec-managerial","White","Male",75,"<=50K"
59,"Private","HS-grad","Divorced","Other-service","Black","Female",40,"<=50K"
27,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Farming-fishing","White","Male",50,"<=50K"
22,"Private","Assoc-acdm","Never-married","Adm-clerical","Black","Female",40,"<=50K"
61,"Private","HS-grad","Married-civ-spouse","Other-service","White","Male",40,"<=50K"
34,"Local-gov","Bachelors","Married-civ-spouse","Prof-specialty","White","Male",60,"<=50K"
29,"Private","Bachelors","Never-married","Adm-clerical","White","Male",40,"<=50K"
43,"Self-emp-not-inc","HS-grad","Never-married","Farming-fishing","White","Male",60,"<=50K"
61,"Self-emp-inc","Bachelors","Separated","Sales","White","Female",30,"<=50K"
25,"Local-gov","HS-grad","Divorced","Adm-clerical","White","Female",40,"<=50K"
45,"State-gov","HS-grad","Divorced","Adm-clerical","White","Female",40,"<=50K"
58,"Private","HS-grad","Widowed","Adm-clerical","White","Female",27,"<=50K"
35,"Private","Bachelors","Never-married","Prof-specialty","White","Female",40,"<=50K"
46,"Private","HS-grad","Divorced","Sales","White","Female",30,"<=50K"
26,"Private","HS-grad","Never-married","Adm-clerical","Black","Male",40,"<=50K"
29,"Private","Bachelors","Never-married","Prof-specialty","White","Female",40,"<=50K"
26,"Private","Bachelors","Never-married","Adm-clerical","White","Male",25,"<=50K"
45,"Self-emp-not-inc","Bachelors","Married-civ-spouse","Prof-specialty","White","Male",30,"<=50K"
40,"Self-emp-inc","Bachelors","Divorced","Exec-managerial","White","Male",40,"<=50K"
27,"Private","Bachelors","Divorced","Exec-managerial","White","Male",52,"<=50K"
24,"Private","HS-grad","Never-married","Farming-fishing","Black","Male",50,"<=50K"
38,"Private","Prof-school","Married-civ-spouse","Prof-specialty","White","Female",40,"<=50K"
41,"Private","HS-grad","Never-married","Sales","White","Male",40,"<=50K"
22,"Private","Assoc-acdm","Never-married","Adm-clerical","White","Female",20,"<=50K"
25,"Private","HS-grad","Never-married","Adm-clerical","White","Female",30,"<=50K"
32,"Private","Masters","Never-married","Sales","Black","Male",40,"<=50K"
44,"Private","HS-grad","Never-married","Sales","White","Female",40,"<=50K"
30,"Private","HS-grad","Married-civ-spouse","Exec-managerial","White","Female",40,"<=50K"
55,"Private","HS-grad","Married-civ-spouse","Other-service","Black","Female",35,"<=50K"
19,"Private","HS-grad","Never-married","Adm-clerical","White","Male",25,"<=50K"
61,"Federal-gov","Bachelors","Married-civ-spouse","Exec-managerial","White","Female",40,"<=50K"
39,"Private","Bachelors","Never-married","Exec-managerial","White","Male",40,"<=50K"
38,"State-gov","Assoc-acdm","Never-married","Exec-managerial","White","Male",60,"<=50K"
23,"Private","HS-grad","Married-civ-spouse","Sales","Black","Male",37,"<=50K"
29,"Private","HS-grad","Divorced","Other-service","White","Female",36,"<=50K"
34,"Private","Bachelors","Never-married","Sales","White","Male",38,"<=50K"
34,"Private","HS-grad","Married-civ-spouse","Adm-clerical","Black","Male",40,"<=50K"
21,"Private","Assoc-acdm","Never-married","Other-service","White","Female",40,"<=50K"
